Frame,X_0,Y_0,X_1,Y_1,X_2,Y_2,X_3,Y_3,Action
1,610.4823350772856,253.4681861749315,498.28103610754965,256.8914815198765,621.5205539267415,165.40140508190277,,,
2,610.3319782105356,253.63271030501178,498.226818274502,257.0491430214977,621.5176670561094,165.4303085875614,,,
3,,,498.11056174109785,257.23717519689825,621.3378683573766,165.46300487414638,,,
4,610.155139231227,253.7099442315383,498.082876553657,257.3557640678461,621.1482814335942,165.57589249579155,,,
5,610.1742606891632,253.621862130515,498.0849933853698,257.34833535428965,621.16892147504,165.4884446243704,,,
6,610.152442894821,253.88813075337217,498.23670832718625,257.42775526610086,620.8899113439489,165.65947287254664,490.1911709664973,174.49916797556867,
7,609.9867761486358,253.95270313772042,498.2193184596098,257.50146974885934,620.6974287321877,165.62642564393167,,,
8,609.9552695773183,254.1678367935079,498.0751196589336,257.62934944419635,620.5546762507568,165.87312987113978,489.9662498028799,174.96430096666228,
9,610.0412712111773,254.18290882496737,497.97873290505527,257.8396642884745,620.6127019348104,166.04481870527246,,,
10,610.1331898667121,254.34899422278835,497.76321876125405,257.7457272381767,620.5622690529777,166.0091625350129,,,
11,610.1246144291938,254.3264145794808,497.8260154669017,257.90827728120934,620.7202821253562,166.22817570571468,489.6422148290733,175.1999648893433,
12,609.8897946776755,254.18807213397918,497.73042526866567,257.91857755591025,620.3729735165846,166.1699659406614,,,
13,609.7622980087535,254.10987480772897,497.5726745653679,257.9739325931454,620.205950238558,165.94464167475908,489.2114470109219,175.53651561701415,
14,609.7727516059625,253.9119734596065,497.52624427452673,257.97124344102866,620.1391800658486,165.8618526980484,,,
15,609.5857519576278,253.89691141639028,497.512914599017,258.1591441356191,619.7823908953363,165.84443131457877,,,
16,609.283147806559,253.88053349265894,497.39022041962426,258.19869831389457,619.4795149936209,165.80834074633654,,,
17,609.2488135076095,254.02705014977494,497.5169364296191,258.2701688520495,619.2914023640766,165.91667956317596,,,
18,609.2784253898787,253.83131818698385,497.62188055349225,258.2883650548304,619.133862675161,165.76916747758898,,,
19,609.1499402115317,253.68065796450458,497.5928100769759,258.3858394226437,619.0915561306497,165.76732097109175,,,
20,609.1527859004655,253.233683224128,497.4038239058463,258.1931604046912,619.2361254983985,165.66462956987064,,,
21,609.8616760632132,252.60261113002187,497.1076165200018,257.5987925154157,621.3353109935468,165.56308905303032,486.4389292179694,176.63977190866385,
22,612.2606657647594,251.44595461058083,496.04208039039065,256.98721789244047,625.705247654216,165.07541084394882,483.6800332640196,176.86382643520543,
23,614.1819144089983,249.65313188947422,494.4609517188576,256.5778933959408,629.4474980524967,163.68387136139063,479.33732464212113,177.37269497467423,
24,615.3075617219276,247.02808102062986,492.4235317006377,256.82027803334825,,,473.49445230289274,177.894133807095,
25,,,490.45822426716364,257.73413974900933,634.8100663260304,161.28605497110973,,,
26,617.9305678218687,245.78151108793955,,,636.606108100868,161.8616831350897,461.150295933406,180.38415658233373,
27,617.1239927877448,248.50210840687757,,,636.8828657759628,164.643199740853,457.5232720201128,182.5444723224281,
28,,,488.33303193473915,266.3699250687047,637.037198669092,169.70920641630963,454.3698631009971,186.64201815608902,
29,614.6812418497293,261.97740175009744,,,636.2099858881851,177.19441023294047,,,
30,614.5416627924684,272.48786992727594,,,636.0427783580694,186.77172731505408,,,
31,,,,,636.1631032190854,197.86297735967213,448.37724723208345,212.10105615855056,
32,,,,,636.0655747039511,209.9123830385004,446.85814068947354,223.43771719332742,
33,,,,,636.3813481368976,222.2513666862635,445.421186509215,235.9872735195262,
34,,,,,636.7895352482403,234.6583539981433,443.97244395333604,249.16603465568417,
