Frame,Tag ID,Center X,Center Y
1,None,None,None
2,None,None,None
3,None,None,None
4,None,None,None
5,None,None,None
6,None,None,None
7,None,None,None
8,None,None,None
9,None,None,None
10,None,None,None
11,None,None,None
12,None,None,None
13,None,None,None
14,None,None,None
15,None,None,None
16,None,None,None
17,None,None,None
18,None,None,None
19,None,None,None
20,None,None,None
21,None,None,None
22,None,None,None
23,None,None,None
24,None,None,None
25,None,None,None
26,None,None,None
27,None,None,None
28,None,None,None
29,None,None,None
30,None,None,None
31,None,None,None
32,None,None,None
33,None,None,None
34,None,None,None
35,None,None,None
36,None,None,None
37,None,None,None
38,None,None,None
39,None,None,None
40,None,None,None
41,None,None,None
42,None,None,None
43,None,None,None
44,None,None,None
45,0,1251.6044378769832,3039.489804837129
46,None,None,None
47,None,None,None
48,None,None,None
49,None,None,None
50,None,None,None
51,0,1380.347441474824,2940.7433089461647
52,0,1383.8669318312468,2943.4525598642467
52,1,996.6481493923916,2876.135221809164
53,0,1381.1681422659276,2944.4296318520446
53,1,996.3674060988278,2874.8503744410787
54,0,1376.395930748133,2941.1277429485785
54,1,993.4251047190642,2874.630304260334
