Frame,X_0,Y_0,X_1,Y_1,X_2,Y_2,X_3,Y_3,Action
1,,,,,,,,,3
2,641.906092190636,179.72289108429575,550.9301136305301,210.69168323906996,,,,,3
3,,,562.5540073040269,214.23460250195592,,,525.6985220686499,135.7130170058791,3
4,,,575.1746269222583,217.5692858188675,,,535.4096715666152,138.55543739684387,3
5,,,,,,,545.7887962214011,140.66881900849924,3
6,689.7191163364248,180.54828131506,601.2935902907792,221.84109211505515,,,556.5633577659135,142.41659524850715,3
7,702.6607380654435,179.6568561947293,614.2411868954985,223.0626324803663,,,567.2776199377455,143.44555797816926,3
8,715.2752712716941,178.57018921628097,627.2670403154424,223.6047219540769,694.7050560832344,80.7155343824372,577.9990514676957,144.22489408937705,3
9,727.5389690006482,176.84835425614082,639.9390948672533,223.4393882846352,704.2376225283526,78.53543323039473,588.4646155804223,144.35519430297782,3
10,739.4418587021855,174.9217396885878,651.9749534826498,222.58025055324012,713.6815887204674,76.78322431877713,598.1793070664463,143.92758867802462,3
11,750.6575861268616,172.9046839707385,663.3378200578653,221.2340302473413,722.262514259443,74.67130573188017,607.4893526489507,143.2514992693996,3
12,760.9614082952072,170.6105611899701,673.6221899932012,219.67209456282657,,,615.9290544960213,142.7146102472065,3
13,770.1952391756039,168.200103640192,683.2263063230582,217.97096758355863,737.1442947574089,70.96686280042282,623.4344770183822,142.0222583129908,3
14,778.0831875700931,166.00783700861058,691.2650348098932,216.347543321076,742.9816591754856,69.4357380124578,629.8474052774974,141.657990269456,3
15,784.2328148251191,163.79245462450697,698.2192209578648,214.96295061814476,747.4932390775359,67.4677220521881,635.3207161256914,141.0415923200252,3
16,788.8628291911559,162.3060834150211,703.4089132680386,214.06992606585465,750.7337664985191,66.29606228788148,639.4240491122084,140.7115701099097,3
17,791.798217522198,161.2675261922612,707.0816217110056,213.7571352528856,753.0718084889353,65.3919717745353,642.3961809151663,140.8739813959655,3
18,792.9041404521204,160.73675126747375,709.3178100526527,213.8549180230364,754.0292006929858,65.38312922816492,644.1521378784413,141.26240997225452,3
19,793.0010934136785,160.83616135197224,710.0490149493755,214.66179715934985,754.2354535226301,65.56216159797427,644.6969910089522,141.90721439169502,3
20,792.5420654836719,161.8617880768518,709.2827043950879,215.85596657781943,753.8087531632841,66.4592946473943,643.977199319833,142.9642165906521,3
21,790.8418211161734,163.23506160376,707.2079436428241,217.2891340487996,752.5136721855943,67.61591603166544,642.2737698956341,144.28002946987328,3
22,788.0892063345133,165.0884713291162,,,750.4507323299083,69.55487447191808,639.308768483775,146.0046005914669,3
23,784.7608111422782,167.84178229124643,699.0473512330697,222.3992336415838,747.9303828015795,71.96620310927577,635.3036982744201,148.1478891057125,3
24,780.22348611921,171.27262756447595,693.2993066930362,225.81201983064764,744.6754481561958,74.97610733128495,630.4316147966957,150.77767793325555,3
25,775.3618400335687,175.5392080795548,686.3940600127107,229.43355129461412,740.8979041670319,78.8410405858045,624.4332582914054,153.8180693467383,3
26,769.5614462690614,180.53833479394868,678.7212480909809,233.37975348962735,736.6270053464287,83.0657144285089,617.9207693589592,156.91662289950133,3
27,762.7350958320442,186.1961142767489,670.1566344287836,237.69961103800244,731.6242241661179,88.33591328395825,610.5193314807779,160.16958642655152,3
28,755.2794387255085,192.37890190554975,660.6829812665118,242.63788763510303,725.9495376688778,93.61918883177778,602.7339707469565,163.69911876286355,3
29,747.3652048181993,199.08392487330133,650.6946021583767,247.567665310912,719.9820355083376,99.61649028061969,594.3592046631197,167.1657089515462,3
30,738.516584313724,206.12209066786292,640.1496634688788,252.69245283284212,713.3162243284239,105.60895547954983,585.5453505103753,170.99824272025572,3
31,729.296022749423,213.4078226431909,629.1152791448199,257.91874165554435,706.6249188129717,112.30312165194756,576.4499177079713,174.8603993476136,3
32,719.4673961555677,220.67471967402915,617.6793061555577,262.84867495045137,699.2134520582994,118.73219497436313,566.9526045865719,178.6060132825101,3
33,709.3963578305014,228.30627335579464,605.6800671886632,268.1233227695016,691.6194526230229,125.70099419551067,556.860365959455,182.45088206801427,3
34,699.0922426751448,235.67537400741335,593.6483268105367,272.9161344436024,683.6091759010769,132.5140258238682,546.9680704138552,186.24541091118053,3
35,688.6264151915415,243.08037563329668,581.4359892922101,277.80107100958026,675.3737636254388,139.31684569964628,536.8076973220225,189.88350434501223,3
36,677.81236636844,250.18926335644545,569.0786962772502,282.3248983747399,,,526.591565078762,193.45081616415985,3
37,666.891697850648,257.20928124178806,556.9050587952428,287.0366765906844,658.3398159084854,152.95154990115768,516.5348496765191,197.22051315386813,3
38,655.9988549177423,264.1896439028428,544.9384053313103,291.8591811561625,650.3373024451632,159.3582330453642,506.5808153612481,201.0432834170549,3
39,645.1562343033164,271.1422682041106,532.9438467471515,296.5158127081873,641.4643611916717,166.23111542153111,496.6415738364737,205.00323376253016,3
40,634.5284339144806,277.7559842236436,521.135484349893,300.9830356142908,632.714322164608,172.68736599083934,486.7143735383697,208.6044315655436,3
41,623.9554676768347,284.45950457355104,509.3178448156679,305.34649825837545,624.0426484182218,179.4621721062537,476.5561490372066,212.42057650150448,3
42,613.3420183603131,291.0025789998419,497.4299833343237,309.6077246392328,615.4141675924222,186.1501450755357,466.7253449448546,216.07844812929525,3
43,602.5853918488311,297.68349360095584,485.8858557826965,313.6895612201444,606.8444104011866,193.19985059388176,457.1006069348594,219.83696721617284,3
