Frame,Tag ID,Center X,Center Y
1,None,None,None
2,None,None,None
3,None,None,None
4,None,None,None
5,None,None,None
6,None,None,None
7,None,None,None
8,None,None,None
9,None,None,None
10,None,None,None
11,None,None,None
12,None,None,None
13,None,None,None
14,None,None,None
15,None,None,None
16,None,None,None
17,None,None,None
18,None,None,None
19,None,None,None
20,None,None,None
21,None,None,None
22,None,None,None
23,None,None,None
24,None,None,None
25,None,None,None
26,None,None,None
27,None,None,None
28,None,None,None
29,None,None,None
30,None,None,None
31,None,None,None
32,None,None,None
33,None,None,None
34,1,725.0999672061056,1954.9245874251524
35,1,710.4707179333388,1953.9932721136445
36,1,698.5635366180668,1954.341756734717
37,None,None,None
38,None,None,None
39,None,None,None
40,1,684.7868308545362,1976.8734323795816
41,1,691.3718476811348,1984.4945146957436
42,None,None,None
43,None,None,None
44,1,717.9654809334414,1986.2140262176192
45,1,724.3868819290705,1984.383179458657
46,1,729.8117833744519,1984.276850802071
47,1,734.8746577141395,1985.293356151858
48,1,737.3418963274661,1986.0840566101695
49,1,737.4428970138957,1985.793756468904
50,1,736.3787928921206,1985.3036230932946
51,1,734.7730485588087,1984.795646949016
52,1,732.9412173056157,1983.7195355693837
53,1,731.8803865957544,1983.4160716851134
54,1,731.9583658209267,1984.315491143582
55,1,734.2095712698722,1985.9705685208164
56,1,738.5217153256576,1987.518252198943
57,1,745.8752677845097,1988.5091031524148
58,1,755.5435217327201,1989.6566046478129
59,1,768.3546338654238,1990.7425603965926
60,None,None,None
61,None,None,None
