Frame,Tag ID,Center X,Center Y
1,None,None,None
2,None,None,None
3,None,None,None
4,None,None,None
5,None,None,None
6,None,None,None
7,None,None,None
8,None,None,None
9,None,None,None
10,None,None,None
11,None,None,None
12,None,None,None
13,None,None,None
14,None,None,None
15,None,None,None
16,None,None,None
17,None,None,None
18,None,None,None
19,None,None,None
20,None,None,None
21,None,None,None
22,None,None,None
23,0,998.3593717697755,1881.1248061810754
23,1,863.6347874924276,1502.6583021939027
24,0,998.3284253540752,1881.1081585665945
25,0,982.3450983993421,1882.7480836166944
25,1,848.5132627624719,1507.1496285335857
26,0,956.0105891429694,1884.8467785766752
26,1,824.67706822513,1515.7631108916016
27,0,955.9870624860272,1884.8554491500215
27,1,824.6788704602541,1515.7150482499871
28,0,945.0343971386194,1886.1592046516369
28,1,814.9959533458004,1519.5624582180494
29,0,927.0108665695475,1890.1908827336538
29,1,798.6997944104518,1525.6605579901016
30,0,927.0347986521309,1890.1629396711269
30,1,798.7117620542876,1525.6257194976454
31,0,919.3705036523322,1892.2370317502161
31,1,792.0078145815204,1527.7000629059887
32,0,906.2841635116449,1894.5613958553329
32,1,781.139162048245,1533.1515445755945
33,0,906.2672861456216,1894.5639253809145
33,1,781.1369540967892,1533.1617099255973
34,0,900.9314419009546,1894.7859327602848
34,1,776.5482493300008,1536.0342165015616
35,0,891.7851708831524,1896.0033329147748
35,1,768.3770351878819,1540.6326682286347
36,0,891.7851708831524,1896.0033329147748
36,1,768.3833082085316,1540.6245465809227
37,0,888.3075591162637,1897.3335228775547
37,1,765.1421361276804,1542.763371241497
38,0,883.2997459589793,1900.3582094045494
38,1,760.6037165092298,1547.068482026554
39,0,883.29792017436,1900.3551367761345
39,1,760.672636540125,1547.0276550767337
40,0,881.2915956808912,1901.9874726356259
40,1,759.4724143531719,1549.4960625661583
41,0,879.089010710276,1903.4675167184168
41,1,759.4116058336198,1555.0153987941026
42,0,879.0909026263329,1903.425863034598
42,1,759.3052025504705,1554.9931537149548
43,0,878.782050805167,1903.7602772786688
43,1,759.3692037014299,1557.5501548544657
44,0,879.3155524162148,1904.9456964994713
44,1,761.7409904603957,1562.6431735222186
45,0,879.3231992031048,1904.9328844720192
45,1,761.753239555556,1562.6548596729315
46,0,880.5224652440037,1905.6747335576472
46,1,761.8121273250421,1566.0590364323627
47,0,883.4339850261629,1907.7913609035506
48,0,883.4521621717629,1907.7968941570064
49,0,885.4756869774502,1909.0453387848395
50,0,890.1289025006985,1911.149647902781
51,0,890.1370725972465,1911.1553186445174
52,0,892.7973255270263,1911.771349842465
53,0,896.8779306524928,1911.6629988366378
54,0,896.8779306524928,1911.6629988366378
55,0,898.8620145761964,1911.4446305934769
56,0,900.9216639346939,1910.0808312871068
56,1,778.5236974883514,1577.9777468149678
57,0,900.9212140916417,1910.0811826251957
57,1,778.4047569481484,1577.9873198269868
58,0,901.3940728304393,1909.793391108379
58,1,780.980595154009,1577.6884114542677
59,0,901.9261726955551,1909.2072192738856
59,1,782.3818160618854,1577.9919077503694
60,0,901.9261726955551,1909.2072192738856
60,1,782.3770993493124,1577.9773453971216
61,0,902.023806464686,1908.3312267822057
61,1,783.5281472065881,1578.4193780932708
62,0,903.1535904978008,1905.75474215288
62,1,786.3807615321673,1579.7092860315915
63,0,903.1488146189431,1905.7646274065435
63,1,786.391402759382,1579.733879905955
64,0,904.1735401853094,1904.3949755702392
64,1,788.180277488334,1580.370976198746
65,0,906.6928406903238,1901.6469084432617
65,1,791.6143941008556,1581.8959324266857
66,0,906.6961962717097,1901.6309051792114
66,1,791.6059980597425,1581.7559021961458
67,0,908.2311040686996,1900.5267850783841
67,1,792.9288575791735,1582.129717317372
68,0,910.9341367924206,1900.5211881955054
68,1,795.9433026301285,1582.7027721380107
69,0,910.9226074059737,1900.5754390634213
69,1,795.9391046257919,1582.6887241893803
70,0,912.2712056292215,1903.4242016850465
71,0,913.9769972433653,1910.7221722153188
71,1,799.5532672167687,1584.673420289489
72,0,913.9723729932543,1910.7578062227378
72,1,799.5249112748926,1584.622547051864
73,0,914.2824444530958,1914.3613397249578
73,1,800.1487094388106,1585.0310074913293
74,0,912.8126210027818,1922.2150186288416
74,1,799.2251593690522,1583.2072539826295
75,0,912.8224121765764,1922.2314081791944
75,1,799.282381599782,1583.174114023952
76,0,911.6831990533188,1925.8729755849731
